Method,VenclovasLab.csv_F_Voronota_glob_light_score,VenclovasLab.csv_F_Voronota_glob_dark_score,VenclovasLab.csv_F_Voronota_glob_area,VenclovasLab.csv_F_Voronota_glob_area_per_atom,VenclovasLab.csv_F_Voronota_glob_nonprotein_area,VenclovasLab.csv_F_Voronota_glob_volume,VenclovasLab.csv_F_Voronota_glob_volume_per_atom,VenclovasLab.csv_F_Voronota_glob_energy,VenclovasLab.csv_F_Voronota_glob_energy_norm,VenclovasLab.csv_F_Voronota_glob_energy_per_atom,VenclovasLab.csv_F_Voronota_glob_sas_area,VenclovasLab.csv_F_Voronota_glob_sas_area_per_atom,VenclovasLab.csv_F_Voronota_glob_sas_energy,VenclovasLab.csv_F_Voronota_glob_sas_energy_norm,VenclovasLab.csv_F_Voronota_glob_sas_energy_per_atom,VenclovasLab.csv_F_Voronota_glob_nonsas_area,VenclovasLab.csv_F_Voronota_glob_nonsas_area_per_atom,VenclovasLab.csv_F_Voronota_glob_nonsas_energy,VenclovasLab.csv_F_Voronota_glob_nonsas_energy_norm,VenclovasLab.csv_F_Voronota_glob_nonsas_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_atoms,VenclovasLab.csv_F_Voronota_iface_atoms_light_score,VenclovasLab.csv_F_Voronota_iface_area,VenclovasLab.csv_F_Voronota_iface_energy,VenclovasLab.csv_F_Voronota_iface_energy_norm,VenclovasLab.csv_F_Voronota_iface_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_shelled_energy,VenclovasLab.csv_F_Voronota_iface_shelled_energy_norm,VenclovasLab.csv_F_Voronota_iface_shelled_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_expanded_area,VenclovasLab.csv_F_Voronota_iface_expanded_energy,VenclovasLab.csv_F_Voronota_iface_expanded_energy_norm,VenclovasLab.csv_F_Voronota_iface_expanded_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy,VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy_norm,VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy_per_atom,VenclovasLab.csv_F_Voronota_split_light_score,VenclovasLab.csv_F_Voronota_split_dark_score,VenclovasLab.csv_F_Voronota_split_area,VenclovasLab.csv_F_Voronota_split_area_per_atom,VenclovasLab.csv_F_Voronota_split_volume,VenclovasLab.csv_F_Voronota_split_volume_per_atom,VenclovasLab.csv_F_Voronota_split_energy,VenclovasLab.csv_F_Voronota_split_energy_norm,VenclovasLab.csv_F_Voronota_split_energy_per_atom,VenclovasLab.csv_F_Voronota_split_sas_area,VenclovasLab.csv_F_Voronota_split_sas_area_per_atom,VenclovasLab.csv_F_Voronota_split_sas_energy,VenclovasLab.csv_F_Voronota_split_sas_energy_norm,VenclovasLab.csv_F_Voronota_split_sas_energy_per_atom,VenclovasLab.csv_F_Voronota_split_nonsas_area,VenclovasLab.csv_F_Voronota_split_nonsas_area_per_atom,VenclovasLab.csv_F_Voronota_split_nonsas_energy,VenclovasLab.csv_F_Voronota_split_nonsas_energy_norm,VenclovasLab.csv_F_Voronota_split_nonsas_energy_per_atom,VenclovasLab.csv_F_Voronota_diff_glob_light_score,VenclovasLab.csv_F_Voronota_diff_glob_dark_score,VenclovasLab.csv_F_Voronota_diff_glob_area,VenclovasLab.csv_F_Voronota_diff_glob_area_per_atom,VenclovasLab.csv_F_Voronota_diff_glob_energy,VenclovasLab.csv_F_Voronota_diff_glob_energy_norm,VenclovasLab.csv_F_Voronota_diff_glob_energy_per_atom,VenclovasLab.csv_F_Voronota_diff_glob_volume,VenclovasLab.csv_F_Voronota_diff_glob_volume_per_atom,VenclovasLab.csv_F_Voronota_diff_sas_area,VenclovasLab.csv_F_Voronota_diff_sas_area_per_atom,VenclovasLab.csv_F_Voronota_diff_sas_energy,VenclovasLab.csv_F_Voronota_diff_sas_energy_norm,VenclovasLab.csv_F_Voronota_diff_sas_energy_per_atom,VenclovasLab.csv_F_Voronota_diff_nonsas_area,VenclovasLab.csv_F_Voronota_diff_nonsas_area_per_atom,VenclovasLab.csv_F_Voronota_diff_nonsas_energy,VenclovasLab.csv_F_Voronota_diff_nonsas_energy_norm,VenclovasLab.csv_F_Voronota_diff_nonsas_energy_per_atom,Oliva_rawdata_v3.csv_F_num_of_contacs,Oliva_rawdata_v3.csv_F_PA,Oliva_rawdata_v3.csv_F_PAr,Oliva_rawdata_v3.csv_F_PAl,Oliva_rawdata_v3.csv_F_CA,Oliva_rawdata_v3.csv_F_CAr,Oliva_rawdata_v3.csv_F_CAl,Oliva_rawdata_v3.csv_F_CP,Oliva_rawdata_v3.csv_F_PP,Oliva_rawdata_v3.csv_F_CC,Oliva_rawdata_v3.csv_F_ArAr,Oliva_rawdata_v3.csv_F_AlAl,Oliva_rawdata_v3.csv_F_AlAr,Oliva_rawdata_v3.csv_F_AAr,Oliva_rawdata_v3.csv_F_AAl,Oliva_rawdata_v3.csv_F_AA,Oliva_rawdata_v3.csv_F_fPA,Oliva_rawdata_v3.csv_F_fPAr,Oliva_rawdata_v3.csv_F_fPAl,Oliva_rawdata_v3.csv_F_fCA,Oliva_rawdata_v3.csv_F_fCAr,Oliva_rawdata_v3.csv_F_fCAl,Oliva_rawdata_v3.csv_F_fCP,Oliva_rawdata_v3.csv_F_fPP,Oliva_rawdata_v3.csv_F_fCC,Oliva_rawdata_v3.csv_F_fArAr,Oliva_rawdata_v3.csv_F_fAlAl,Oliva_rawdata_v3.csv_F_fAlAr,Oliva_rawdata_v3.csv_F_fAAr,Oliva_rawdata_v3.csv_F_fAAl,Oliva_rawdata_v3.csv_F_fAA,Oliva_rawdata_v3.csv_F_BSA_Freesasa,Oliva_rawdata_v3.csv_F_BSA_Polar_Freesasa,Oliva_rawdata_v3.csv_F_BSA_Apolar_Freesasa,Oliva_rawdata_v3.csv_F_BSA_naccess,Oliva_rawdata_v3.csv_F_BSA_Polar naccess,Oliva_rawdata_v3.csv_F_BSA_Apolar_naccess,LyonMOBIGroup_MOBI_raw_scores.csv_F_shape,LyonMOBIGroup_MOBI_raw_scores.csv_F_hydro,FurmanLab_interface_analyzer_disulf.csv_F_I-sc,FurmanLab_interface_analyzer_disulf.csv_F_dG-cross/dSASAx100,FurmanLab_interface_analyzer_disulf.csv_F_dG-separated/dSASAx100,FurmanLab_interface_analyzer_disulf.csv_F_dSASA-polar,FurmanLab_interface_analyzer_disulf.csv_F_fa-dun,FurmanLab_interface_analyzer_disulf.csv_F_fa-intra-rep,FurmanLab_interface_analyzer_disulf.csv_F_fa-intra-sol-xover4,FurmanLab_interface_analyzer_disulf.csv_F_sc-value,Kiharalab_feature.csv_F_DFIRE,Kiharalab_feature.csv_F_GOAP,Kiharalab_feature.csv_F_DOVE,Kiharalab_feature.csv_F_GNN-DOVE,Kiharalab_feature.csv_F_ITScore,Kiharalab_feature.csv_F_PhysicsScore,Kiharalab_feature.csv_F_RosettaInterfaceEnergy,Kiharalab_feature.csv_F_VoroMQA,
VenclovasLab.csv_F_Voronota_iface_energy_norm,-0.09783,-0.17226,0.42103,-0.23924,-0.01743,0.42106,-0.19541,-0.37757,0.05246,0.11489,0.42161,-0.23337,-0.05421,0.00847,0.01458,0.41554,0.17072,-0.38441,0.19713,0.13932,0.07943,-0.66658,0.03271,0.64124,1.00000,0.63106,0.63394,0.99625,0.62529,0.19026,0.36855,0.64901,0.51457,0.54028,0.89758,0.58876,0.20995,0.12112,0.41971,-0.31990,0.41989,-0.29544,-0.41794,-0.24476,-0.21169,0.41836,-0.31336,-0.18344,-0.20930,-0.21749,0.41530,0.26281,-0.40333,0.02475,-0.07181,-0.59401,-0.57688,-0.02066,0.36539,0.62738,0.61101,0.60098,0.03961,0.37082,-0.05872,0.34945,0.55570,0.58818,0.54188,0.12459,-0.31700,0.65041,0.64030,0.64029,0.06884,0.19098,-0.03995,0.03638,0.28478,0.12962,0.00519,0.38100,0.20432,0.35189,-0.33104,-0.34997,-0.39486,-0.17274,-0.07031,0.02489,0.18964,-0.10846,0.01365,0.32740,0.11228,-0.07302,0.48897,0.18977,0.37728,-0.38070,-0.51558,-0.54396,-0.23076,-0.12405,0.00106,0.07521,0.34323,-0.12251,0.08814,0.46350,-0.35672,-0.23531,-0.52115,0.07642,0.08191,0.11961,0.30932,0.37109,0.10648,0.42057,-0.34597,-0.37706,-0.40225,0.05243,-0.00091,-0.39898,-0.03506,0.13283,-0.09446,
VenclovasLab.csv_F_Voronota_iface_energy_per_atom,0.10736,0.03083,0.46857,-0.47523,0.00266,0.47049,-0.41133,-0.45548,-0.14243,-0.05308,0.45593,-0.47562,-0.04639,-0.00147,0.00725,0.47324,0.37524,-0.46805,0.03422,-0.07954,-0.27223,-0.44915,-0.32088,0.72884,0.63106,1.00000,0.73037,0.63936,0.99873,-0.16684,0.51072,0.43517,0.89766,0.66442,0.60648,0.97727,0.56427,0.46027,0.46032,-0.70480,0.46483,-0.66991,-0.50095,-0.57340,-0.53398,0.42877,-0.71566,-0.20031,-0.30235,-0.37119,0.48041,0.65505,-0.48808,-0.16021,-0.38110,-0.96767,-0.90186,0.32700,0.90691,0.71508,0.95321,0.96015,0.38881,0.90401,0.29295,0.89766,0.65813,0.81186,0.88820,-0.22876,-0.87310,0.69749,0.79297,0.98843,-0.23978,0.01375,-0.11340,-0.19141,0.04997,-0.14689,-0.09668,0.12558,0.05626,0.10833,-0.30050,-0.53760,-0.49765,-0.18544,-0.18935,-0.05496,0.13831,-0.00518,-0.03336,0.21015,-0.01074,0.01176,0.33433,0.16533,0.25940,-0.17932,-0.43981,-0.35385,-0.08910,-0.06038,0.03117,-0.25770,0.02385,-0.42344,-0.24055,0.29604,-0.62261,-0.60585,-0.73171,0.04065,0.04694,0.08189,-0.03950,0.36645,0.07322,0.45371,-0.27133,-0.46085,-0.46997,0.00774,-0.03392,-0.46646,0.13318,0.11127,0.10782,
VenclovasLab.csv_F_Voronota_iface_shelled_energy,-0.05044,-0.05616,0.17689,-0.10445,-0.01128,0.17713,-0.08015,-0.14927,0.04582,0.07431,0.17978,-0.07942,-0.00706,0.02628,0.03263,0.17244,0.00723,-0.15523,0.06580,0.06495,-0.63428,-0.44135,-0.68328,0.99794,0.63394,0.73037,1.00000,0.64478,0.73419,-0.49451,0.79535,0.47746,0.66183,0.95248,0.63499,0.71575,0.29505,0.27498,0.16278,-0.32168,0.16757,-0.31253,-0.21733,-0.31130,-0.29727,0.13306,-0.31659,-0.19782,-0.22142,-0.24940,0.18528,0.26873,-0.18541,-0.07432,-0.16398,-0.68698,-0.67921,0.68998,0.63484,0.92011,0.73944,0.70289,0.73586,0.64394,0.65819,0.62456,0.80526,0.67008,0.65442,-0.59245,-0.60033,0.97109,0.55598,0.71712,-0.52373,-0.14322,-0.27877,-0.40121,-0.13535,-0.25625,-0.28090,-0.03460,-0.07709,-0.05415,-0.43493,-0.66350,-0.71701,-0.36601,-0.38117,-0.16583,0.13579,-0.03396,-0.04880,0.19312,0.06725,-0.02597,0.31662,0.15065,0.25211,-0.19735,-0.37760,-0.39071,-0.12544,-0.06086,0.05947,-0.59634,-0.27361,-0.74881,-0.58690,-0.04667,-0.73282,-0.43013,-0.60217,0.02738,0.03809,0.08469,-0.36389,0.15611,0.03199,0.17431,-0.20609,-0.14831,-0.16410,-0.08088,-0.00797,-0.16131,0.48969,0.07554,-0.05486,
VenclovasLab.csv_F_Voronota_iface_shelled_energy_norm,-0.10618,-0.17841,0.42711,-0.24404,-0.01392,0.42718,-0.20186,-0.38314,0.05551,0.12003,0.42735,-0.23837,-0.05114,0.01225,0.01834,0.42182,0.17512,-0.39097,0.20180,0.14218,0.07087,-0.68937,0.02340,0.64711,0.99625,0.63936,0.64478,1.00000,0.63715,0.18593,0.37811,0.65546,0.52662,0.55318,0.90844,0.60256,0.21093,0.12353,0.42559,-0.32874,0.42585,-0.30609,-0.42425,-0.24835,-0.21317,0.42345,-0.32260,-0.18462,-0.21227,-0.22100,0.42175,0.27181,-0.40980,0.03108,-0.07008,-0.61020,-0.59348,-0.01163,0.37905,0.63846,0.62408,0.61222,0.05065,0.38537,-0.05037,0.36300,0.57297,0.60663,0.55794,0.11758,-0.33025,0.64868,0.63167,0.64317,0.05886,0.18805,-0.03965,0.02429,0.28119,0.12241,0.00960,0.37763,0.20190,0.35640,-0.33432,-0.36950,-0.40883,-0.17245,-0.07859,0.02406,0.19034,-0.10232,0.00407,0.32843,0.11022,-0.06134,0.49190,0.19213,0.39061,-0.37852,-0.53338,-0.55189,-0.22510,-0.12706,0.00472,0.06744,0.34107,-0.13326,0.08045,0.46494,-0.36841,-0.24026,-0.54342,0.07583,0.08136,0.11991,0.30375,0.37342,0.10568,0.42562,-0.35358,-0.38260,-0.40887,0.05322,-0.00263,-0.40563,-0.02415,0.12836,-0.10296,
VenclovasLab.csv_F_Voronota_iface_shelled_energy_per_atom,0.09887,0.02591,0.46696,-0.47184,0.00384,0.46883,-0.41025,-0.45340,-0.13726,-0.04735,0.45437,-0.47262,-0.04461,0.00110,0.00997,0.47161,0.37373,-0.46627,0.03912,-0.07476,-0.27765,-0.45805,-0.32652,0.72991,0.62529,0.99873,0.73419,0.63715,1.00000,-0.17067,0.51577,0.43627,0.90032,0.67029,0.60833,0.98036,0.55948,0.45840,0.45861,-0.70340,0.46310,-0.67053,-0.49914,-0.57000,-0.52955,0.42688,-0.71475,-0.20004,-0.30188,-0.37062,0.47887,0.65530,-0.48621,-0.15252,-0.37513,-0.97232,-0.90724,0.33237,0.90989,0.71798,0.95537,0.96078,0.39491,0.90775,0.29824,0.90067,0.66415,0.81767,0.89250,-0.23385,-0.87616,0.69439,0.77956,0.98336,-0.24588,0.01101,-0.11384,-0.19724,0.04500,-0.15018,-0.09513,0.12051,0.05339,0.10839,-0.30204,-0.54556,-0.50295,-0.18497,-0.19404,-0.05580,0.13754,-0.00240,-0.03644,0.20863,-0.01056,0.01725,0.33166,0.16450,0.26312,-0.17776,-0.44407,-0.35446,-0.08533,-0.06133,0.03290,-0.26249,0.02002,-0.42831,-0.24542,0.29258,-0.62555,-0.60589,-0.73847,0.04029,0.04656,0.08159,-0.04544,0.36452,0.07272,0.45198,-0.27280,-0.45885,-0.46838,0.00759,-0.03459,-0.46499,0.14033,0.10715,0.09928,
VenclovasLab.csv_F_Voronota_iface_expanded_area,-0.09574,-0.20315,0.37397,-0.10534,0.00264,0.37118,-0.08822,-0.33845,0.03218,0.06348,0.37585,-0.12910,-0.03578,-0.00775,-0.00766,0.36798,0.15408,-0.34749,0.14878,0.09402,0.93954,-0.24301,0.92854,-0.49597,0.19026,-0.16684,-0.49451,0.18593,-0.17067,1.00000,-0.57934,0.10915,-0.19718,-0.56925,0.16378,-0.18940,-0.14176,-0.23720,0.39036,0.03399,0.38158,0.04415,-0.30178,0.11137,0.13347,0.43208,0.03429,0.03155,0.03105,0.05564,0.35060,-0.03092,-0.33016,0.14041,0.13711,0.12632,0.11225,-0.92314,-0.29573,-0.37753,-0.17700,-0.15860,-0.87200,-0.28890,-0.94337,-0.30678,-0.27633,-0.10520,-0.14679,0.96455,0.32477,-0.49421,-0.02124,-0.16315,0.76245,0.40423,0.29865,0.49504,0.54322,0.53438,0.39521,0.56004,0.36653,0.57208,0.17270,0.38547,0.37852,0.27457,0.35839,0.21802,0.00930,-0.06930,-0.00466,0.09464,0.04202,0.00846,0.14101,0.01803,0.12657,-0.10856,-0.09251,-0.09007,-0.05287,-0.09286,-0.08285,0.87597,0.82179,0.80487,0.88123,0.70608,0.45000,0.19778,0.09075,0.22134,0.20075,0.11734,0.87549,0.38021,0.24748,0.38438,-0.26072,-0.34973,-0.36254,0.15203,-0.00424,-0.35813,-0.62449,0.01671,-0.07136,
VenclovasLab.csv_F_Voronota_iface_expanded_energy,-0.09531,-0.06733,-0.03187,-0.00961,0.01578,-0.03339,-0.00508,0.08597,0.17666,0.19819,-0.02429,0.02682,0.19264,0.22710,0.23487,-0.03763,-0.10155,0.04663,-0.02213,0.01284,-0.65172,-0.34360,-0.68365,0.79232,0.36855,0.51072,0.79535,0.37811,0.51577,-0.57934,1.00000,0.66414,0.67205,0.93738,0.56652,0.59410,0.16168,0.17042,-0.04514,-0.18297,-0.04212,-0.18274,0.03906,-0.06575,-0.04856,-0.06843,-0.16719,0.08397,0.08655,0.06287,-0.02523,0.11409,0.02183,-0.11594,-0.14356,-0.49136,-0.48216,0.69060,0.45895,0.58081,0.45711,0.41638,0.69611,0.45961,0.67137,0.44924,0.41817,0.39357,0.33986,-0.62746,-0.42755,0.77261,0.39716,0.49830,-0.49037,-0.12250,-0.20913,-0.32254,-0.19751,-0.25501,-0.29561,-0.19729,-0.10767,-0.31017,-0.30396,-0.46872,-0.51591,-0.24926,-0.23249,-0.08479,0.12492,0.03341,0.02312,0.09709,0.04138,-0.03946,0.07652,0.09628,-0.05149,-0.07840,-0.17222,-0.18391,-0.02464,0.08517,0.12861,-0.61095,-0.43543,-0.65815,-0.60891,-0.27120,-0.53251,-0.33095,-0.42396,0.04623,0.05380,0.09956,-0.50511,0.00679,0.05594,-0.02853,-0.06723,0.06528,0.04817,-0.08280,-0.02158,0.05023,0.51329,0.03629,-0.09355,
VenclovasLab.csv_F_Voronota_iface_expanded_energy_norm,-0.22062,-0.25562,0.22443,-0.07673,0.02387,0.22253,-0.04277,-0.13837,0.26774,0.31809,0.23449,-0.05612,0.18824,0.28483,0.29453,0.21359,-0.00132,-0.18809,0.11129,0.11002,0.00113,-0.66028,-0.03400,0.47600,0.64901,0.43517,0.47746,0.65546,0.43627,0.10915,0.66414,1.00000,0.61727,0.58724,0.89885,0.52015,0.03256,-0.01949,0.22257,-0.15293,0.22108,-0.13186,-0.15969,0.06189,0.10055,0.22968,-0.13487,0.13165,0.16743,0.16265,0.21373,0.08067,-0.20200,-0.00824,-0.03277,-0.44103,-0.44056,0.04870,0.24864,0.31407,0.35193,0.31858,0.08611,0.25387,0.01261,0.22735,0.19962,0.33473,0.22906,0.05090,-0.18599,0.46472,0.45356,0.42886,0.02466,0.16008,0.00170,0.03410,0.18284,0.08399,-0.03512,0.17714,0.13540,0.06204,-0.20485,-0.22565,-0.25691,-0.06429,0.04200,0.10603,0.16793,-0.01905,0.05697,0.21165,0.08771,-0.07305,0.21317,0.12794,0.02327,-0.21117,-0.29072,-0.32152,-0.07784,0.06805,0.12791,0.00586,0.14562,-0.09309,0.01140,0.22444,-0.21433,-0.19453,-0.40245,0.08207,0.08788,0.12610,0.11870,0.23306,0.11391,0.22086,-0.24631,-0.15950,-0.19358,0.03266,-0.02424,-0.18994,0.06572,0.06450,-0.21360,
VenclovasLab.csv_F_Voronota_iface_expanded_energy_per_atom,0.05773,0.00056,0.41314,-0.42659,0.01598,0.41487,-0.36465,-0.38542,-0.04155,0.05239,0.40168,-0.41988,0.05594,0.15334,0.17602,0.41750,0.31570,-0.41765,-0.02858,-0.12020,-0.28834,-0.45159,-0.33215,0.65643,0.51457,0.89766,0.66183,0.52662,0.90032,-0.19718,0.67205,0.61727,1.00000,0.70315,0.63250,0.96567,0.48391,0.39417,0.40486,-0.64298,0.40932,-0.60652,-0.42119,-0.42152,-0.36546,0.37447,-0.64718,-0.06251,-0.09932,-0.14374,0.42473,0.58045,-0.43552,-0.19623,-0.38515,-0.88818,-0.82100,0.33964,0.84102,0.57024,0.81456,0.80094,0.38758,0.83391,0.30749,0.82953,0.48757,0.69147,0.70366,-0.24642,-0.80140,0.62219,0.70561,0.88179,-0.23746,0.01865,-0.07605,-0.17318,0.01897,-0.15790,-0.10131,0.05002,0.03989,-0.01618,-0.24280,-0.46921,-0.41652,-0.13319,-0.13434,-0.00956,0.13373,0.03543,-0.01399,0.16991,-0.02974,0.01423,0.22611,0.14410,0.10949,-0.12074,-0.35400,-0.26214,-0.03209,0.01281,0.08630,-0.27306,-0.05195,-0.39441,-0.25827,0.21621,-0.56455,-0.57550,-0.69668,0.04745,0.05275,0.08951,-0.10757,0.32622,0.07890,0.39714,-0.23015,-0.40049,-0.41372,0.01611,-0.05359,-0.41011,0.14074,0.08245,0.06119,
VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy,-0.07021,-0.05630,0.07980,-0.07605,0.00111,0.07933,-0.06228,-0.04012,0.10256,0.13123,0.08363,-0.04478,0.08628,0.11937,0.12707,0.07575,-0.03381,-0.06173,0.02652,0.03936,-0.67146,-0.41562,-0.71413,0.94815,0.54028,0.66442,0.95248,0.55318,0.67029,-0.56925,0.93738,0.58724,0.70315,1.00000,0.63377,0.69998,0.25124,0.24627,0.06549,-0.28069,0.06978,-0.27703,-0.10140,-0.21692,-0.20008,0.03611,-0.27064,-0.07404,-0.08918,-0.11784,0.08900,0.21762,-0.09084,-0.09864,-0.16674,-0.63127,-0.61958,0.72063,0.58361,0.80178,0.64254,0.60473,0.74707,0.58823,0.69486,0.57406,0.65776,0.57028,0.54109,-0.63914,-0.55164,0.92402,0.50877,0.65070,-0.52663,-0.13471,-0.25247,-0.37325,-0.16980,-0.26401,-0.29400,-0.11322,-0.09239,-0.17885,-0.39452,-0.60153,-0.65398,-0.32348,-0.32011,-0.12997,0.13996,0.00115,-0.01057,0.15545,0.05798,-0.02969,0.21225,0.13212,0.11363,-0.15100,-0.30090,-0.31148,-0.08053,0.01009,0.09694,-0.63104,-0.36555,-0.73896,-0.62488,-0.16168,-0.66573,-0.39700,-0.54357,0.04119,0.05060,0.09802,-0.44923,0.08702,0.04633,0.08086,-0.14120,-0.04894,-0.06641,-0.08202,-0.01424,-0.06386,0.52305,0.05993,-0.07183,
VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy_norm,-0.19940,-0.25692,0.37074,-0.16655,0.00682,0.36964,-0.12446,-0.29779,0.18539,0.24843,0.37727,-0.15213,0.07176,0.15913,0.16826,0.36101,0.08791,-0.32916,0.18477,0.15294,0.02173,-0.77055,-0.02470,0.63209,0.89758,0.60648,0.63499,0.90844,0.60833,0.16378,0.56652,0.89885,0.63250,0.63377,1.00000,0.62939,0.12880,0.05365,0.36845,-0.26640,0.36778,-0.24316,-0.33372,-0.10819,-0.06611,0.37119,-0.25349,-0.04043,-0.04046,-0.04696,0.36133,0.19640,-0.34723,0.02624,-0.04605,-0.60113,-0.59556,0.03963,0.36847,0.54759,0.56240,0.53222,0.10022,0.37752,-0.00458,0.34632,0.45795,0.54861,0.45990,0.08207,-0.30237,0.61564,0.58756,0.59774,0.02244,0.17816,-0.03437,0.00655,0.24622,0.09992,-0.01833,0.30014,0.17503,0.23965,-0.30620,-0.35637,-0.39253,-0.13997,-0.04385,0.06079,0.19398,-0.06769,0.01782,0.29854,0.11047,-0.06225,0.39971,0.17561,0.25205,-0.32041,-0.47108,-0.48951,-0.16341,-0.04288,0.07050,0.02506,0.26492,-0.14661,0.03589,0.38567,-0.34662,-0.25578,-0.54744,0.08523,0.09202,0.13527,0.22424,0.34228,0.12077,0.36688,-0.34926,-0.30782,-0.34234,0.04686,-0.01380,-0.33870,0.04131,0.10036,-0.19409,
VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy_per_atom,0.08565,0.02022,0.45346,-0.47155,0.00933,0.45537,-0.41005,-0.43448,-0.10442,-0.00944,0.44026,-0.47011,-0.00293,0.06479,0.07977,0.45875,0.36685,-0.45585,0.01070,-0.09927,-0.28535,-0.46483,-0.33254,0.70962,0.58876,0.97727,0.71575,0.60256,0.98036,-0.18940,0.59410,0.52015,0.96567,0.69998,0.62939,1.00000,0.54195,0.44496,0.44503,-0.70000,0.44966,-0.66600,-0.47661,-0.52293,-0.47436,0.41252,-0.70940,-0.14505,-0.22255,-0.28356,0.46613,0.64642,-0.47518,-0.17400,-0.39061,-0.95904,-0.88991,0.33872,0.90159,0.66610,0.91522,0.91409,0.39523,0.89651,0.30572,0.89214,0.59945,0.77949,0.83265,-0.24319,-0.86728,0.67382,0.76149,0.96088,-0.24337,0.01793,-0.09547,-0.18480,0.03470,-0.15535,-0.09525,0.09227,0.05058,0.05682,-0.28326,-0.52149,-0.47360,-0.16380,-0.16771,-0.03473,0.13960,0.01730,-0.02364,0.19404,-0.02038,0.01896,0.28935,0.15918,0.19879,-0.15739,-0.41430,-0.32110,-0.06227,-0.02878,0.05684,-0.27028,-0.01124,-0.41863,-0.25386,0.26475,-0.60832,-0.60149,-0.73440,0.04490,0.05077,0.08687,-0.07313,0.35491,0.07744,0.43795,-0.25531,-0.44405,-0.45550,0.01375,-0.04335,-0.45197,0.13991,0.09782,0.08741,
VenclovasLab.csv_F_Voronota_split_light_score,0.87221,0.73191,0.23028,-0.71632,-0.03989,0.24314,-0.60051,-0.39536,-0.78654,-0.72775,0.17970,-0.69391,-0.23015,-0.24134,-0.22950,0.26856,0.49670,-0.36320,-0.61244,-0.73374,-0.13287,0.09423,-0.15847,0.29537,0.20995,0.56427,0.29505,0.21093,0.55948,-0.14176,0.16168,0.03256,0.48391,0.25124,0.12880,0.54195,1.00000,0.89943,0.22617,-0.76226,0.24048,-0.68331,-0.41112,-0.88970,-0.87891,0.16673,-0.74225,-0.28860,-0.36787,-0.40975,0.27249,0.61288,-0.37108,-0.70192,-0.85408,-0.55675,-0.49793,0.16358,0.58328,0.31494,0.45981,0.54239,0.17976,0.56226,0.14960,0.58260,0.29376,0.32624,0.48725,-0.12282,-0.57655,0.30030,0.60121,0.58064,-0.13572,0.07401,0.01784,-0.13366,0.03144,-0.20880,-0.01477,0.00668,0.02167,0.01394,-0.04835,-0.31715,-0.18489,-0.01235,-0.06404,0.03084,0.14529,0.09497,-0.05517,0.10588,-0.17962,0.05828,0.10127,0.08919,0.08963,0.01123,-0.25606,-0.09833,0.04255,0.00402,0.06812,-0.14510,0.00189,-0.23031,-0.13925,0.11105,-0.29874,-0.35708,-0.28467,-0.06329,-0.07143,-0.05774,-0.02032,0.08672,-0.07335,0.20501,-0.02138,-0.34565,-0.30481,0.01310,-0.02699,-0.29354,0.01591,0.03452,0.86170,
VenclovasLab.csv_F_Voronota_split_dark_score,0.81048,0.87789,0.08908,-0.62305,-0.04382,0.10323,-0.53338,-0.26467,-0.73583,-0.68512,0.03186,-0.61536,-0.24784,-0.26118,-0.25239,0.13443,0.46740,-0.22187,-0.53331,-0.65135,-0.20866,0.15067,-0.22628,0.27430,0.12112,0.46027,0.27498,0.12353,0.45840,-0.23720,0.17042,-0.01949,0.39417,0.24627,0.05365,0.44496,0.89943,1.00000,0.08429,-0.65622,0.10011,-0.59685,-0.28070,-0.80558,-0.79480,0.01655,-0.64799,-0.29635,-0.35804,-0.39472,0.13936,0.55470,-0.22978,-0.59736,-0.74509,-0.45662,-0.43286,0.22833,0.48962,0.28153,0.37369,0.44669,0.23370,0.47352,0.22256,0.49199,0.25554,0.24493,0.40435,-0.20907,-0.49235,0.28092,0.46605,0.47348,-0.19825,0.03120,-0.02860,-0.15630,-0.03571,-0.24716,-0.08220,-0.08847,-0.03568,-0.06772,-0.07024,-0.27551,-0.19701,-0.03444,-0.05179,0.04549,0.13579,0.06886,-0.02309,0.06850,-0.14966,0.01090,0.02019,0.05807,0.03492,0.00005,-0.14662,-0.08080,0.04228,0.06912,0.10694,-0.21480,-0.10102,-0.26797,-0.21394,-0.04717,-0.23630,-0.29802,-0.18771,-0.12080,-0.13361,-0.11936,-0.11660,-0.07323,-0.16133,0.04646,0.09160,-0.21747,-0.16775,-0.00239,-0.02349,-0.16007,0.08320,0.03847,0.78835,
